sample_id	LOC	SITE	TRAN	YEAR	AGE	TREAT	total_reads	total_asvs	coverage
AL_S30_T060_Y0_YNG_CTL	AL	S30	T060	Y0	YNG	CTL	29308	665	high (25-100k)
AL_S30_T060_Y1_YNG_CTL	AL	S30	T060	Y1	YNG	CTL	75055	345	high (25-100k)
AL_S30_T060_Y4_YNG_CTL	AL	S30	T060	Y4	YNG	CTL	47834	421	high (25-100k)
AL_S30_T203_Y0_YNG_NP	AL	S30	T203	Y0	YNG	NP	77890	1006	high (25-100k)
AL_S30_T203_Y1_YNG_NP	AL	S30	T203	Y1	YNG	NP	77259	484	high (25-100k)
AL_S30_T203_Y4_YNG_NP	AL	S30	T203	Y4	YNG	NP	80309	414	high (25-100k)
AL_S30_T204_Y0_YNG_N	AL	S30	T204	Y0	YNG	N	88659	956	high (25-100k)
AL_S30_T204_Y1_YNG_N	AL	S30	T204	Y1	YNG	N	60902	689	high (25-100k)
AL_S30_T204_Y4_YNG_N	AL	S30	T204	Y4	YNG	N	70237	697	high (25-100k)
AL_S30_T205_Y0_YNG_P	AL	S30	T205	Y0	YNG	P	137236	1017	extra_high (> 100k)
AL_S30_T205_Y1_YNG_P	AL	S30	T205	Y1	YNG	P	75935	661	high (25-100k)
AL_S30_T205_Y4_YNG_P	AL	S30	T205	Y4	YNG	P	69187	654	high (25-100k)
AL_S31_T062_Y0_OLD_CTL	AL	S31	T062	Y0	OLD	CTL	27839	601	high (25-100k)
AL_S31_T062_Y1_OLD_CTL	AL	S31	T062	Y1	OLD	CTL	44809	439	high (25-100k)
AL_S31_T062_Y4_OLD_CTL	AL	S31	T062	Y4	OLD	CTL	53751	728	high (25-100k)
AL_S31_T206_Y0_OLD_N	AL	S31	T206	Y0	OLD	N	63196	809	high (25-100k)
AL_S31_T206_Y1_OLD_N	AL	S31	T206	Y1	OLD	N	53671	762	high (25-100k)
AL_S31_T206_Y4_OLD_N	AL	S31	T206	Y4	OLD	N	89564	959	high (25-100k)
AL_S31_T207_Y0_OLD_P	AL	S31	T207	Y0	OLD	P	71814	817	high (25-100k)
AL_S31_T207_Y1_OLD_P	AL	S31	T207	Y1	OLD	P	61690	697	high (25-100k)
