asv_id	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	ASV1
ASV2	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV2
ASV3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	ASV3
ASV4	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	ASV4
ASV5	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV5
ASV6	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV6
ASV7	Fungi	Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota	ASV7
ASV8	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV8
ASV9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	ASV9
ASV10	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV10
ASV11	Fungi	Basidiomycota	Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	ASV11
ASV12	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Ceriporiopsis	ASV12
ASV13	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	f_Clavariaceae	ASV13
ASV14	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV14
ASV15	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV15
ASV16	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	ASV16
ASV17	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	ASV17
ASV18	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae	ASV18
ASV19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gliocladiopsis	ASV19
