sample_id,LOC,SITE,TRAN,YEAR,AGE,TREAT,total_reads,total_asvs,coverage
AL_S30_T060_Y0_YNG_CTL,AL,S30,T060,Y0,YNG,CTL,88733,1311,high (25-100k)
AL_S30_T060_Y4_YNG_CTL,AL,S30,T060,Y4,YNG,CTL,93488,1299,high (25-100k)
AL_S30_T203_Y0_YNG_NP,AL,S30,T203,Y0,YNG,NP,92553,1280,high (25-100k)
AL_S30_T203_Y1_YNG_NP,AL,S30,T203,Y1,YNG,NP,115550,2271,extra_high (> 100k)
AL_S30_T203_Y4_YNG_NP,AL,S30,T203,Y4,YNG,NP,94915,1731,high (25-100k)
AL_S30_T204_Y0_YNG_N,AL,S30,T204,Y0,YNG,N,133542,1521,extra_high (> 100k)
AL_S30_T204_Y1_YNG_N,AL,S30,T204,Y1,YNG,N,19693,753,medium (5-25k)
AL_S30_T204_Y4_YNG_N,AL,S30,T204,Y4,YNG,N,127656,1817,extra_high (> 100k)
AL_S30_T205_Y0_YNG_P,AL,S30,T205,Y0,YNG,P,229267,2333,extra_high (> 100k)
AL_S30_T205_Y1_YNG_P,AL,S30,T205,Y1,YNG,P,101813,2329,extra_high (> 100k)
AL_S30_T205_Y4_YNG_P,AL,S30,T205,Y4,YNG,P,82507,1594,high (25-100k)
AL_S31_T062_Y0_OLD_CTL,AL,S31,T062,Y0,OLD,CTL,188953,1422,extra_high (> 100k)
AL_S31_T062_Y1_OLD_CTL,AL,S31,T062,Y1,OLD,CTL,52536,1050,high (25-100k)
AL_S31_T062_Y4_OLD_CTL,AL,S31,T062,Y4,OLD,CTL,91228,1664,high (25-100k)
AL_S31_T206_Y0_OLD_N,AL,S31,T206,Y0,OLD,N,120332,1319,extra_high (> 100k)
AL_S31_T206_Y1_OLD_N,AL,S31,T206,Y1,OLD,N,99567,1702,high (25-100k)
AL_S31_T206_Y4_OLD_N,AL,S31,T206,Y4,OLD,N,127302,2139,extra_high (> 100k)
AL_S31_T207_Y0_OLD_P,AL,S31,T207,Y0,OLD,P,133384,1364,extra_high (> 100k)
AL_S31_T207_Y4_OLD_P,AL,S31,T207,Y4,OLD,P,103755,1982,extra_high (> 100k)
AL_S31_T208_Y0_OLD_NP,AL,S31,T208,Y0,OLD,NP,138202,1242,extra_high (> 100k)
AL_S31_T208_Y1_OLD_NP,AL,S31,T208,Y1,OLD,NP,22765,792,medium (5-25k)
AL_S31_T208_Y4_OLD_NP,AL,S31,T208,Y4,OLD,NP,111351,1631,extra_high (> 100k)
AL_S33_T066_Y0_OLD_CTL,AL,S33,T066,Y0,OLD,CTL,326232,2399,extra_high (> 100k)
AL_S33_T066_Y1_OLD_CTL,AL,S33,T066,Y1,OLD,CTL,84563,1514,high (25-100k)
AL_S33_T066_Y4_OLD_CTL,AL,S33,T066,Y4,OLD,CTL,132464,2101,extra_high (> 100k)
AL_S33_T243_Y0_OLD_P,AL,S33,T243,Y0,OLD,P,169816,1833,extra_high (> 100k)
AL_S33_T243_Y1_OLD_P,AL,S33,T243,Y1,OLD,P,93552,2159,high (25-100k)
AL_S33_T243_Y4_OLD_P,AL,S33,T243,Y4,OLD,P,84851,1793,high (25-100k)
AL_S33_T244_Y0_OLD_N,AL,S33,T244,Y0,OLD,N,126437,1263,extra_high (> 100k)
AL_S33_T244_Y1_OLD_N,AL,S33,T244,Y1,OLD,N,110449,1867,extra_high (> 100k)
AL_S33_T244_Y4_OLD_N,AL,S33,T244,Y4,OLD,N,136770,2477,extra_high (> 100k)
AL_S33_T245_Y0_OLD_NP,AL,S33,T245,Y0,OLD,NP,163250,1614,extra_high (> 100k)
AL_S33_T245_Y1_OLD_NP,AL,S33,T245,Y1,OLD,NP,114637,1982,extra_high (> 100k)
AL_S33_T245_Y4_OLD_NP,AL,S33,T245,Y4,OLD,NP,109168,1941,extra_high (> 100k)
AL_S41_T081_Y0_OLD_CTL,AL,S41,T081,Y0,OLD,CTL,107176,1189,extra_high (> 100k)
AL_S41_T081_Y1_OLD_CTL,AL,S41,T081,Y1,OLD,CTL,104595,2010,extra_high (> 100k)
AL_S41_T081_Y4_OLD_CTL,AL,S41,T081,Y4,OLD,CTL,127218,1837,extra_high (> 100k)
AL_S41_T200_Y0_OLD_P,AL,S41,T200,Y0,OLD,P,173655,1973,extra_high (> 100k)
AL_S41_T200_Y4_OLD_P,AL,S41,T200,Y4,OLD,P,139367,2559,extra_high (> 100k)
AL_S41_T201_Y0_OLD_N,AL,S41,T201,Y0,OLD,N,105810,1144,extra_high (> 100k)
AL_S41_T201_Y1_OLD_N,AL,S41,T201,Y1,OLD,N,119629,1872,extra_high (> 100k)
AL_S41_T201_Y4_OLD_N,AL,S41,T201,Y4,OLD,N,160514,2253,extra_high (> 100k)
AL_S41_T202_Y0_OLD_NP,AL,S41,T202,Y0,OLD,NP,181588,1775,extra_high (> 100k)
AL_S41_T202_Y1_OLD_NP,AL,S41,T202,Y1,OLD,NP,97265,1825,high (25-100k)
AL_S41_T202_Y4_OLD_NP,AL,S41,T202,Y4,OLD,NP,127525,2083,extra_high (> 100k)
AL_S68_T209_Y0_NEW_P,AL,S68,T209,Y0,NEW,P,161245,1489,extra_high (> 100k)
AL_S68_T209_Y1_NEW_P,AL,S68,T209,Y1,NEW,P,136304,2438,extra_high (> 100k)
AL_S68_T209_Y4_NEW_P,AL,S68,T209,Y4,NEW,P,145267,2810,extra_high (> 100k)
AL_S68_T210_Y0_NEW_NP,AL,S68,T210,Y0,NEW,NP,106958,1409,extra_high (> 100k)
AL_S68_T210_Y1_NEW_NP,AL,S68,T210,Y1,NEW,NP,113926,2508,extra_high (> 100k)
AL_S68_T210_Y4_NEW_NP,AL,S68,T210,Y4,NEW,NP,115732,2231,extra_high (> 100k)
AL_S68_T211_Y0_NEW_CTL,AL,S68,T211,Y0,NEW,CTL,129530,1469,extra_high (> 100k)
AL_S68_T211_Y4_NEW_CTL,AL,S68,T211,Y4,NEW,CTL,160204,2364,extra_high (> 100k)
