Total_ASVs	Freq
5	1
6	1
91	1
163	1
194	1
214	1
258	1
286	1
310	1
317	1
322	1
345	1
351	1
354	1
360	1
369	1
401	2
402	1
414	1
420	1
422	1
423	2
431	1
434	1
435	1
437	1
440	1
444	1
449	1
450	1
453	1
458	1
459	1
469	2
477	1
479	1
484	1
486	1
491	1
493	1
496	1
497	1
498	2
502	1
505	1
508	1
512	1
513	1
514	2
517	1
523	2
526	2
536	1
546	1
569	1
570	2
574	1
575	1
576	1
584	2
586	1
589	1
590	1
599	1
601	2
602	2
606	2
609	1
610	2
611	1
619	1
620	2
621	2
626	2
631	1
635	2
638	2
640	1
644	1
646	1
650	1
654	1
660	1
661	1
663	1
664	1
665	1
671	1
677	1
680	1
681	1
682	2
686	1
688	4
689	1
690	2
692	1
697	1
699	2
702	1
707	1
712	1
716	1
717	1
720	1
722	1
726	1
727	1
728	1
730	1
732	1
734	1
751	1
757	2
762	1
767	1
774	1
775	2
776	2
781	1
782	1
792	2
794	1
796	1
798	1
799	1
801	2
809	1
811	2
818	1
831	1
841	1
842	1
847	1
849	1
854	1
863	1
864	1
868	1
872	1
882	1
886	1
907	1
910	1
935	1
956	1
959	1
982	1
1006	1
1017	1
1045	1
1046	1
