Total_samples	Freq
1	21150
2	4544
3	2123
4	1226
5	804
6	584
7	441
8	360
9	279
10	226
11	176
12	187
13	133
14	91
15	107
16	97
17	80
18	63
19	39
20	65
21	61
22	53
23	42
24	40
25	37
26	39
27	27
28	29
29	28
30	27
31	19
32	31
33	18
34	21
35	20
36	19
37	16
38	23
39	13
40	15
41	15
42	12
43	16
44	16
45	9
46	10
47	11
48	13
49	11
50	8
51	10
52	10
53	5
54	7
55	10
56	8
57	7
58	6
59	2
60	11
61	5
62	7
63	7
64	5
65	4
66	3
67	3
68	7
69	2
70	4
71	2
72	5
73	4
74	3
75	4
76	3
77	5
78	4
79	2
80	3
81	2
82	2
83	6
84	1
85	2
87	1
88	2
91	2
92	1
93	2
94	2
95	1
96	2
97	3
98	1
99	1
101	1
102	3
104	2
106	1
109	1
112	2
114	1
115	2
117	1
118	1
125	1
126	1
133	3
134	2
137	1
141	1
143	1
144	1
146	1
159	2
169	1
175	1
	
