Total_ASVs	Freq
397	1
634	1
754	1
792	1
1052	1
1145	1
1192	1
1247	1
1263	1
1267	1
1282	1
1301	1
1302	1
1309	1
1313	1
1319	1
1322	1
1355	1
1366	1
1368	1
1383	1
1396	1
1410	1
1411	1
1425	1
1432	1
1446	1
1450	1
1455	1
1472	1
1483	1
1486	1
1494	1
1495	1
1496	2
1500	1
1512	1
1516	1
1522	1
1524	1
1539	1
1549	1
1556	1
1568	1
1588	1
1593	1
1601	2
1611	1
1615	1
1617	1
1624	1
1628	1
1636	1
1668	1
1669	1
1675	1
1681	1
1687	1
1698	1
1702	1
1708	1
1714	1
1732	1
1737	1
1750	1
1756	1
1778	1
1797	1
1809	1
1825	1
1829	1
1836	1
1845	1
1855	2
1870	1
1874	1
1895	1
1941	1
1942	1
1945	1
1955	1
1957	1
1958	1
1966	1
1976	1
1981	1
1985	1
1986	1
1987	1
1991	1
1994	2
1997	1
2000	1
2002	1
2004	1
2005	1
2009	1
2014	1
2029	1
2089	1
2092	1
2096	1
2110	1
2119	1
2122	1
2129	1
2132	1
2135	1
2141	1
2148	1
2152	1
2167	1
2174	1
2191	1
2194	1
2199	1
2201	1
2203	1
2210	1
2217	1
2241	1
2245	3
2259	1
2275	1
2281	2
2286	1
2288	1
2300	1
2325	1
2330	2
2334	1
2338	1
2347	1
2353	1
2362	1
2363	1
2370	1
2400	1
2447	1
2483	1
2484	1
2492	1
2496	1
2510	1
2516	1
2535	1
2542	1
2558	1
2567	1
2573	1
2583	1
2596	1
2652	1
2755	1
2820	1
2848	1
2892	1
2927	1
2994	1
3051	1
3412	1
