Total_samples	Freq
1	33475
2	4985
3	2382
4	1535
5	1021
6	760
7	590
8	513
9	397
10	333
11	297
12	252
13	242
14	212
15	177
16	178
17	116
18	139
19	139
20	102
21	106
22	92
23	85
24	99
25	88
26	76
27	76
28	65
29	74
30	71
31	84
32	52
33	50
34	56
35	51
36	56
37	48
38	43
39	38
40	26
41	33
42	31
43	42
44	32
45	28
46	38
47	29
48	33
49	24
50	32
51	22
52	29
53	26
54	26
55	17
56	18
57	20
58	21
59	29
60	19
61	15
62	24
63	27
64	24
65	9
66	11
67	25
68	16
69	15
70	4
71	19
72	18
73	8
74	20
75	19
76	16
77	13
78	9
79	12
80	8
81	9
82	12
83	14
84	10
85	8
86	10
87	9
88	8
89	8
90	14
91	12
92	7
93	11
94	9
95	7
96	10
97	11
98	1
99	7
100	8
101	7
102	7
103	8
104	6
105	8
106	9
107	9
108	5
109	6
110	3
111	3
112	3
113	9
114	3
115	7
116	4
117	6
118	4
119	4
120	6
121	4
122	8
123	6
124	4
125	7
126	10
127	4
128	9
130	2
131	6
132	1
133	7
134	3
135	4
136	4
137	5
138	2
139	5
140	4
141	4
142	8
143	6
144	3
145	5
146	3
147	2
148	4
149	1
150	2
151	4
152	4
153	3
154	1
155	4
156	2
158	1
159	6
160	5
161	2
162	2
163	6
164	2
165	5
166	1
167	8
168	1
169	9
